Inline	Crossline	Time(ms)	Density(kg/m3)	Sonic(us/m)	Gamma_Ray(API)	Porosity(fraction)	P_Impedance(Kg/m2s)	P_Impedance_rel(Kg/m2s)	Vp(Meter/second)
442	1007	263.46783447	2114.1	1e30	26.09070015	0.335	4333190	6616.4	1e30
442	1007	263.62747192	2114.1	1e30	25.62520027	0.3349	4333300	6865.79003906	1e30
442	1007	263.78707886	2114.1	1e30	25.45	0.3349	4333410	7115.27001953	1e30
442	1007	263.94671631	2114.13989258	1e30	25.45006752	0.3349	4333600	7365.2109375	1e30
442	1007	264.10632324	2114.2	1e30	25.7814579	0.3349	4333830	7615.09033203	1e30
442	1007	264.26596069	2114.2	1e30	26.56130028	0.3349	4333940	7864.97998047	1e30
442	1007	264.42553711	2114.2	1e30	26.95	0.3349	4334050	8114.87011719	1e30
442	1007	264.58517456	2114.2	1e30	27.334	0.3349	4334160	8364.75	1e30
442	1007	264.74481201	2114.22998047	1e30	28.5151577	0.3348	4334330	8614.68457031	1e30
442	1007	264.90444946	2114.3	1e30	29.78231812	0.3348	4334580	8834.04492188	1e30
442	1007	265.06402588	2114.3	1e30	30.85	0.3348	4334690	9050.99023438	1e30
442	1007	265.22366333	2114.3	1e30	30.85	0.3348	4334800	9267.95019531	1e30
442	1007	265.38327026	2114.32006836	1e30	30.994	0.3348	4334960	9484.90039063	1e30
442	1007	265.54290771	2114.4	1e30	31.45	0.3348	4335220	9701.89355469	1e30
442	1007	265.70251465	2114.4	1e30	31.44996643	0.3348	4335330	9918.83496094	1e30
442	1007	265.8621521	2114.4	1e30	31.27709961	0.3348	4335440	10092.40039063	1e30
442	1007	266.02172852	2114.4	1e30	30.55	0.3347	4335550	10245.59960938	1e30
442	1007	266.18133545	2114.41992188	1e30	30.55	0.3347	4335700	10398.70019531	1e30
442	1007	266.34100342	2114.5	1e30	30.50664711	0.3347	4335980	10551.83105469	1e30
442	1007	266.50061035	2114.5	1e30	30.24997139	0.3347	4336090	10705.03125	1e30
