Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)
722	848	1366.93859863	2102.36010742	494.54998779	53.01869965	0.3423	4252780	-178727	2022.04003906
722	848	1367.08447266	2115.13989258	487.25799561	56.2181015	0.3343	4340960	-182828	2052.2800293
722	848	1367.23254395	2103.84008789	493.67700195	57.77690125	0.3414	4261700	-186930	2025.62
722	848	1367.3807373	2101.70068359	494.89361572	54.57372665	0.3425996	4246770	-191031.34375	2020.63183594
722	848	1367.52978516	2102.63183594	494.37463379	51.28655624	0.34210509	4253170	-195131.90625	2022.74121094
722	848	1367.67956543	2092.62988281	500.07998657	49.88470078	0.3484	4184740	-198705	1999.68005371
722	848	1367.82739258	2102.32006836	494.58300781	50.32460022	0.3424	4250890	-201369	2021.87
722	848	1367.97949219	2081.7800293	506.21798706	53.81909943	0.3551	4113270	-204032	1975.43005371
722	848	1368.13061523	2084.22631836	504.84411621	55.42178726	0.35360229	4128570	-206696.15625	1980.81188965
722	848	1368.28356934	2079.64208984	507.43405151	53.07318115	0.35639244	4098340	-209359.171875	1970.72741699
722	848	1368.43249512	2094.68994141	498.89700317	53.54040146	0.3471	4199270	-212021	2004.42004395
722	848	1368.58557129	2075.81005859	509.61801147	52.37530136	0.3589	4074590	-213942	1962.1
722	848	1368.75341797	1990.7800293	557.92602539	51.94440079	0.412	3580470	-214738	1792.34997559
722	848	1368.92468262	1965.28015137	572.40020752	53.20491409	0.42799357	3433360	-215535.65625	1747.02783203
722	848	1369.09472656	1977.84338379	565.25897217	54.4562149	0.42006049	3498980	-216331.640625	1769.22192383
722	848	1369.25048828	2055.62011719	521.09301758	56.07049942	0.3715	3960090	-217128	1919.04003906
722	848	1369.4005127	2096.37011719	497.9630127	58.327	0.346	4210160	-217925	2008.2
722	848	1369.54858398	2103.7	493.77398682	56.79059982	0.3415	4260500	-217773	2025.2199707
722	848	1369.69763184	2096.67260742	497.78237915	55.62784958	0.34579831	4212330	-216488.953125	2008.90637207
722	848	1369.84667969	2100.12353516	495.822052	54.46449661	0.34369782	4235930	-215204.953125	2016.85803223
722	848	1370	2104.32006836	493.40701294	54.71170044	0.341	4264890	-213922	2026.7199707
722	848	1370.14245605	2101.37988281	495.09698486	56.82120132	0.3429	4244420	-212637	2019.8
722	848	1370.29150391	2100.34008789	495.681	58.520401	0.3435	4237280	-211353	2017.43005371
