Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Kg/m2s)	P_Impedance(Kg/m2s)	Porosity(fraction)	Gamma_Ray(API)	Sonic(us/m)	Density(kg/m3)
442	1007	561.33349609	2127.72973633	215421.171875	4565380	0.31571108	60.11216736	470.4312439	2144.85644531
442	1007	561.49304199	2127.21899414	216023.03125	4563874	0.31583181	60	470.54495239	2144.66333008
442	1007	561.65270996	2126.65527344	216486.203125	4562211.5	0.31596604	59.88801956	470.67123413	2144.44824219
442	1007	561.81231689	2126.03930664	216811.3125	4560395	0.31611353	59.77327728	470.80990601	2144.21240234
442	1007	561.97198486	2125.37280273	216999.046875	4558430.5	0.31627378	59.65666199	470.96054077	2143.95581055
442	1007	562.13165283	2124.65625	217050.640625	4556317.5	0.31644678	59.53782272	471.12310791	2143.67871094
442	1007	562.29119873	2123.89160156	216967.296875	4554063.5	0.31663179	59.41675949	471.29705811	2143.38256836
442	1007	562.4508667	2123.07983398	216750.171875	4551670	0.3168287	59.29315948	471.48217773	2143.06738281
442	1007	562.61053467	2122.22192383	216400.5	4549141	0.31703711	59.16682816	471.67819214	2142.73364258
442	1007	562.7701416	2121.3203125	215920.34375	4546485	0.31725633	59.03774643	471.88449097	2142.3828125
442	1007	562.92980957	2120.37524414	215310.453125	4543700	0.31748638	58.90551376	472.10110474	2142.01464844
442	1007	563.08935547	2119.38916016	214573.59375	4540795.5	0.31772655	58.77018356	472.32733154	2141.63012695
442	1007	563.24902344	2118.36230469	213710.703125	4537771	0.31797683	58.63142395	472.56326294	2141.22949219
442	1007	563.40869141	2117.29516602	212723.546875	4534629	0.31823692	58.48910522	472.8086853	2140.81323242
442	1007	563.56829834	2116.19042969	211615.484375	4531376.5	0.31850627	58.3433075	473.06295776	2140.38208008
442	1007	563.72796631	2115.046875	210386.734375	4528011	0.31878507	58.19374847	473.32644653	2139.93554688
442	1007	563.88751221	2113.8671875	209041.59375	4524540	0.31907272	58.0406456	473.59848022	2139.47509766
442	1007	564.04724121	2112.65063477	207580.71875	4520961	0.31936938	57.88383484	473.87930298	2139
442	1007	564.20684814	2111.39770508	206006.328125	4517276.5	0.31967482	57.72333908	474.16873169	2138.51123047
442	1007	564.36645508	2110.11083984	204322.984375	4513493.5	0.31998849	57.55941772	474.46624756	2138.00927734
442	1007	564.52606201	2108.7890625	202530.40625	4509608.5	0.32031065	57.39187622	474.77212524	2137.4934082
442	1007	564.68572998	2107.43530273	200634.1875	4505630.5	0.32064044	57.22106552	475.08554077	2136.96557617
442	1007	564.84539795	2106.04931641	198634.765625	4501559.5	0.32097796	57.04686356	475.40664673	2136.42529297
442	1007	565.00500488	2104.6328125	196534.78125	4497400.5	0.32132274	56.86933517	475.73510742	2135.87353516
442	1007	565.16461182	2103.18945313	194339.734375	4493163	0.32167387	56.68878174	476.06997681	2135.3112793
442	1007	565.32421875	2101.71850586	192048.921875	4488846.5	0.32203141	56.50495911	476.41140747	2134.73876953
442	1007	565.48388672	2100.22485352	189669.0625	4484464.5	0.32239419	56.31822968	476.7583313	2134.15795898
442	1007	565.64355469	2098.70800781	187200.3125	4480017.5	0.32276213	56.12840652	477.11068726	2133.5690918
442	1007	565.80316162	2097.17041016	184645.65625	4475510.5	0.32313463	55.93551636	477.46807861	2132.97265625
442	1007	565.96276855	2095.61572266	182011.375	4470955.5	0.32351089	55.73983383	477.82943726	2132.37036133
442	1007	566.12243652	2094.04321289	179296.34375	4466350.5	0.32389081	55.54105377	478.19512939	2131.76171875
442	1007	566.28204346	2092.45751953	176508.265625	4461709	0.32427338	55.33951187	478.56387329	2131.1496582
442	1007	566.44171143	2090.85839844	173646.9375	4457030.5	0.32465851	55.13500977	478.93585205	2130.53295898
442	1007	566.60131836	2089.24707031	170715.59375	4452319	0.32504585	54.92757034	479.3107605	2129.9128418
442	1007	566.76098633	2087.62695313	167721.234375	4447583.5	0.32543471	54.71750259	479.68777466	2129.2902832
442	1007	566.92059326	2085.99584961	164662.25	4442819	0.32582548	54.50450134	480.06747437	2128.66455078
442	1007	567.0802002	2084.35742188	161547.046875	4438035.5	0.3262172	54.28896332	480.44888306	2128.03735352
